PackagingApparaat,Herkomst,Risicokwalificatie,Koffieboon,Panel Test,Klantretourpercentage,Registratiedatum,FillingDatumTijdEind,PackagingDatumTijdEind,FillingApparaat,Cost,Voorraadniveaus,FillingDatumTijdStart,Benuttingsgraad,GrindingDatumTijdEind,Cyclustijd,GrindingDatumTijdStart,LeverancierLevertijd,Leveranciersbeoordeling,Roosterprofiel,Klanttevredenheid,Gewichtscontrole,FillingID,Duurzaamheid Score,PackagingDatumTijdStart,Audit van Leverancier,Batchnr,CO2-Footprint,Opmerkingen,ProcessTime,Fair-Trade Score,Defectpercentage,Energieverbruik,GrindingApparaat,PackagingID,Laatste Audit,GrindingID
Packager 1,Jamaica,Laag,Arabica,Voldoet,1.20%,2020-03-27,2023-03-13 22:40:55.201158,2023-03-14 00:29:39.951688,Filling Machine 3,597.44,300,2023-03-13 22:20:32.676602,84.03%,2023-03-13 21:34:10.704628,4.1,2023-03-13 21:11:56,8 dagen,8.0,Medium-Donker,4,1.50 kg,8924,19,2023-03-14 00:06:17.512356,Goedgekeurd,2411,2.22 kg CO2/kg,Geen,5.95 hours,46,2.96%,abc kWh,Grinder 1,8275,2021-03-25,6616
Packager 5,Burundi,Zeer Hoog,Robusta,Voldoet,0.00%,2022-12-27,2021-11-22 07:30:21.225360,2021-11-22 08:48:51.049789,Filling Machine 4,527.47,200,2021-11-22 07:07:50.282235,72.96%,2021-11-22 06:48:10.831567,4.55,2021-11-22 06:27:41,13 dagen,4.0,Licht,6,0.58 kg,8991,55,2021-11-22 08:12:58.043234,Afgekeurd,7639,7.64 kg CO2/kg,Geen,4.55 hours,70,2.85%,212.0 kWh,Grinder 5,4297,2023-10-04,3900
Packager 4,Bolivia,Matig,Liberica,Voldoet,0.98%,2021-07-04,2020-11-15 07:46:04.682131,2020-11-15 09:01:44.467372,Filling Machine 1,525.71,200,2020-11-15 07:28:24.596972,80.23%,2020-11-15 06:41:32.007923,4.51,2020-11-15 06:24:17,12 dagen,5.0,Licht,1,1.19 kg,4767,67,2020-11-15 08:20:12.421973,Herziening vereist,4336,4.97 kg CO2/kg,Geen,4.51 hours,9,1.21%,220.0 kWh,Grinder 5,3465,2022-05-04,XXXX
Packager 3,Guatemala,Matig,Robusta,Voldoet,0.93%,2020-04-11,2023-11-01 11:02:41.340676,2023-11-01 12:56:03.450078,Filling Machine 1,505.05,500,2023-11-01 10:46:46.479082,78.88%,2023-11-01 10:18:38.659186,4.37,2023-11-01 10:05:48,8 dagen,1.0,Medium,3,0.94 kg,1009,60,2023-11-01 12:04:37.053580,Afgekeurd,5132,1.16 kg CO2/kg,Geen,4.37 hours,46,2.43%,221.0 kWh,Grinder 3,8704,2020-09-16,7865
Packager 1,Zambia,Zeer Hoog,Arabica,Voldoet gedeeltelijk,0.64%,2020-03-24,2020-02-19 07:33:22.853138,2020-02-19 08:49:01.732420,Filling Machine 2,499.67,500,2020-02-19 07:18:53.641221,69.38%,2020-02-19 06:38:59.567748,3.99,2020-02-19 06:19:01,15 dagen,3.0,Medium-Donker,4,0.88 kg,551,42,2020-02-19 08:17:28.718504,Herziening vereist,7029,8.15 kg CO2/kg,Uitstekende kwaliteit,3.99 hours,60,2.29%,200.0 kWh,Grinder 4,2644,2020-05-24,279
###,Kenia,Matig,Robusta,Voldoet,1.62%,2022-03-11,2020-03-23 13:58:20.197255,2020-03-23 14:55:08.340589,Filling Machine 3,619.53,100,2020-03-23 13:44:01.577916,51.71%,2020-03-23 13:10:28.368792,6.39,2020-03-23 12:56:03,14 dagen,6.0,Medium,6,1.18 kg,6178,37,2020-03-23 14:33:03.547587,Afgekeurd,6429,4.98 kg CO2/kg,Geen,6.39 hours,24,2.39%,212.0 kWh,Grinder 3,9238,2022-12-27,470
Packager 1,Nicaragua,Hoog,Arabica,Voldoet,1.12%,2023-12-21,2023-01-09 12:35:35.338090,2023-01-09 14:27:35.164093,Filling Machine 1,493.5,298,2023-01-09 12:26:37.139903,58.93%,2023-01-09 11:41:18.604951,3.87,2023-01-09 11:19:36,11 dagen,2.0,Licht,3,1.36 kg,6603,60,2023-01-09 14:01:25.977950,Goedgekeurd,1539,6.22 kg CO2/kg,Geen,3.87 hours,53,1.27%,207.0 kWh,Grinder 3,4347,2024-04-16,6270
Packager 1,Costa Rica,Hoog,Arabica,Voldoet niet,1.22%,2021-05-13,2021-09-17 03:55:20.920624,2021-09-17 05:39:19.308170,Filling Machine 2,472.02,100,2021-09-17 03:42:46.951608,82.59%,2021-09-17 03:10:55.345684,3.44,2021-09-17 02:44:24,5 dagen,4.0,Medium,3,1.05 kg,9833,56,2021-09-17 05:08:52.764036,Goedgekeurd,1173,8.70 kg CO2/kg,Geen,3.44 hours,57,4.07%,295.0 kWh,Grinder 4,2142,2021-07-19,3519
Packager 2,Kameroen,Matig,Arabica,Voldoet,0.55%,2021-03-23,2023-03-21 00:47:46.418183,2023-03-21 02:29:14.923806,Filling Machine 2,545.11,400,2023-03-21 00:30:05.346688,78.96%,2023-03-20 23:58:30.926826,4.9,2023-03-20 23:37:34,20 dagen,3.0,Medium-Donker,1,0.79 kg,9959,31,31-02-2025 25:61:61,Herziening vereist,4955,6.39 kg CO2/kg,Geen,4.90 hours,16,1.29%,164.0 kWh,Grinder 5,1413,2021-10-23,6659
Packager 4,Venezuela,Matig,Arabica,Voldoet,1.13%,2020-05-27,2022-10-02 20:59:14.897578,31-02-2025 25:61:61,Filling Machine 1,432.64,500,2022-10-02 20:41:23.745783,62.30%,2022-10-02 20:19:39.806784,2.65,2022-10-02 20:00:54,13 dagen,4.0,Medium,5,1.14 kg,9961,65,2022-10-02 22:02:58.164543,Goedgekeurd,5396,3.07 kg CO2/kg,Geen,2.65 hours,35,1.79%,301.0 kWh,Grinder 3,9217,2020-12-04,9999
Packager 2,Zimbabwe,Kritiek,Arabica,Voldoet,0.71%,2020-06-18,2020-12-20 07:46:32.682648,31-02-2025 25:61:61,Filling Machine 3,556.68,200,2020-12-20 07:33:28.065799,73.90%,2020-12-20 07:08:05.452831,5.13,2020-12-20 06:56:48,7 dagen,3.0,Licht,7,1.10 kg,3132,52,2020-12-20 08:49:59.662169,Afgekeurd,4053,6.82 kg CO2/kg,Herziening vereist,5.13 hours,44,3.12%,150.0 kWh,Grinder 2,8832,2021-06-12,1977
Packager 3,Dominicaanse Republiek,Matig,Robusta,Voldoet gedeeltelijk,1.45%,2020-07-23,2021-12-31 10:42:22.307107,2021-12-31 11:20:45.499301,Filling Machine 2,494.56,400,onbekend,90.12%,2021-12-31 09:53:58.270275,3.89,2021-12-31 09:32:18,8 dagen,5.0,Licht,6,0.60 kg,741,83,2021-12-31 11:19:45.499301,Herziening vereist,2167,6.36 kg CO2/kg,Geen,3.89 hours,50,1.46%,227.0 kWh,Grinder 5,2214,2020-09-13,4123
Packager 1,Angola,Matig,Arabica,Voldoet,1.61%,,2021-05-31 12:23:53.099425,2021-05-31 13:26:49.151382,Filling Machine 5,516.12,100,2021-05-31 12:04:05.965764,72.97%,2021-05-31 11:37:42.651438,4.32,2021-05-31 11:04:34,15 dagen,4.0,Medium,4,0.93 kg,1970,49,2021-05-31 12:46:11.442486,Afgekeurd,9426,3.81 kg CO2/kg,Geen,4.32 hours,52,0.99%,297.0 kWh,Grinder 2,3316,2021-10-29,2885
Packager 5,Uganda,Laag,Arabica,Voldoet,0.46%,2021-05-17,2021-04-04 04:50:31.858469,2021-04-04 06:28:56.287662,Filling Machine 2,550.04,500,2021-04-04 04:37:04.798420,79.32%,2021-04-04 04:05:12.055296,5.0,2021-04-04 03:57:24,20 dagen,5.0,Medium,4,0.92 kg,2681,74,0000-00-00 00:00:00,Goedgekeurd,9591,9.51 kg CO2/kg,Geen,5.00 hours,22,2.05%,395.0 kWh,Grinder 1,1829,2021-06-24,2574
Packager 5,Angola,Laag,Arabica,Voldoet,1.35%,,2023-08-24 20:53:56.389400,2023-08-24 22:20:12.316271,Filling Machine 2,429.96,400,2023-08-24 20:41:35.232645,78.51%,2023-08-24 20:04:02.611860,2.6,2023-08-24 19:47:26,6 dagen,5.0,Medium-Donker,3,0.82 kg,1821,17,2023-08-24 22:01:15.179066,Goedgekeurd,6778,,Geen,2.60 hours,34,4.40%,188.0 kWh,Grinder 2,9926,2022-04-26,7485
Packager 4,Dominicaanse Republiek,Hoog,Arabica,Voldoet,1.01%,2021-10-23,2021-11-20 12:14:03.927668,2021-11-20 13:30:55.128270,Filling Machine 1,591.4,300,2021-11-20 12:05:14.813094,61.69%,2021-11-20 11:27:04.238796,5.83,2021-11-20 11:10:25,10 dagen,4.0,Medium,-3,1.15 kg,8360,45,2021-11-20 13:12:06.079300,Goedgekeurd,6284,6.04 kg CO2/kg,Geen,5.83 hours,41,2.13%,161.0 kWh,Grinder 5,4984,2022-01-24,3886
Packager 5,Filipijnen,Laag,Liberica,Voldoet,0.26%,2022-09-25,2021-12-06 16:45:57.877688,2021-12-06 18:02:56.075695,Filling Machine 2,516.57,300,31-02-2025 25:61:61,85.34%,2021-12-06 16:02:29.010923,4.33,2021-12-06 15:34:11,12 dagen,5.0,Medium,7,1.12 kg,149,23,2021-12-06 17:30:13.885141,Goedgekeurd,2892,,Geen,4.33 hours,64,2.10%,199.0 kWh,Grinder 3,4629,2023-08-28,3985
Packager 3,Burundi,Matig,Arabica,Voldoet,0.74%,2023-06-24,2023-05-13 13:55:31.638396,2023-05-13 15:03:41.770068,Filling Machine 5,518.94,200,2023-05-13 13:54:31.638396,84.72%,onbekend,4.38,2023-05-13 12:50:01,18 dagen,,Medium,3,1.28 kg,5630,51,31-02-2025 25:61:61,Afgekeurd,1513,5.04 kg CO2/kg,Geen,4.38 hours,64,1.60%,271.0 kWh,Grinder 4,9425,2024-04-05,6946
Packager 2,Angola,Hoog,Arabica,Voldoet niet,0.39%,2020-12-21,2021-10-26 20:59:00.385101,2021-10-26 22:23:00.979031,Filling Machine 3,532.71,100,2021-10-26 20:36:27.724879,80.21%,2021-10-26 20:01:30.566701,4.65,2021-10-26 19:52:27,22 dagen,4.0,Medium-Donker,6,0.97 kg,9300,48,2021-10-26 21:52:16.916925,Afgekeurd,8875,3.17 kg CO2/kg,Geen,4.65 hours,35,0.09%,285.0 kWh,Grinder 2,8100,2021-07-24,3748
Packager 1,Dominicaanse Republiek,Laag,Arabica,Voldoet gedeeltelijk,1.63%,2021-02-09,2022-01-01 09:46:04.443618,2022-01-01 11:03:40.056085,Filling Machine 3,472.67,100,2022-01-01 09:31:53.054991,69.45%,2022-01-01 09:10:52.475263,3.45,2022-01-01 09:03:03,22 dagen,2.0,Medium,7,0.86 kg,7072,59,2022-01-01 10:51:45.448538,Herziening vereist,9552,5.52 kg CO2/kg,Geen,3.45 hours,50,1.24%,212.0 kWh,Grinder 5,6439,2022-01-01,4127
Packager 5,Cuba,Zeer Hoog,Arabica,Voldoet,0.34%,2020-09-23,2022-08-23 21:38:15.117100,2022-08-23 23:23:06.293863,Filling Machine 3,441.52,100,2022-08-23 21:20:11.389840,87.04%,2022-08-23 20:50:29.925398,2.83,2022-08-23 20:30:19,13 dagen,,Medium-Donker,6,0.57 kg,7793,47,2022-08-23 22:45:53.395309,Afgekeurd,5684,7.62 kg CO2/kg,Geen,2.83 hours,70,0.98%,171.0 kWh,Grinder 2,9356,2021-04-12,0000
Packager 5,Vietnam,Matig,Liberica,Voldoet,0.86%,2020-09-27,2020-09-23 18:17:25.937837,2020-09-23 20:26:44.871023,Filling Machine 5,523.22,400,2020-09-23 18:00:31.848263,79.13%,2020-09-23 17:23:11.005904,4.46,2020-09-23 17:05:15,11 dagen,3.0,Medium,7,1.49 kg,6926,61,2020-09-23 19:50:11.338725,Goedgekeurd,7379,5.37 kg CO2/kg,Geen,4.46 hours,45,1.31%,193.0 kWh,Grinder 5,1928,2021-06-10,1459
Packager 3,Ivoorkust,Zeer Hoog,Arabica,Voldoet,0.64%,2022-09-14,2022-02-05 00:42:08.244108,2022-02-05 02:04:52.242949,Filling Machine 4,500.37,400,2022-02-05 00:24:41.395152,75.44%,2022-02-04 23:53:30.668531,4.01,2022-02-04 23:34:14,9 dagen,5.0,Donker,6,,8503,68,2022-02-05 01:42:20.504562,Herziening vereist,7149,4.96 kg CO2/kg,Geen,4.01 hours,41,4.63%,348.0 kWh,Grinder 1,8905,2023-05-09,4332
Packager 1,Bolivia,Matig,Arabica,Voldoet gedeeltelijk,1.04%,2023-09-22,2021-04-14 18:09:13.796342,2021-04-14 19:47:33.716863,Filling Machine 1,505.24,500,2021-04-14 17:56:59.088178,73.92%,2021-04-14 17:27:08.711552,4.1,2021-04-14 17:11:16,13 dagen,2.0,Medium,5,0.79 kg,9097,49,2021-04-14 19:09:11.349941,Afgekeurd,2807,9.11 kg CO2/kg,Geen,4.10 hours,56,1.11%,297.0 kWh,Grinder 1,520,2024-08-23,2636
Packager 5,Brazilië,Zeer Hoog,Liberica,Voldoet,0.65%,2020-03-05,2023-08-17 18:05:09.861648,31-02-2025 25:61:61,Filling Machine 5,505.05,500,31-02-2025 25:61:61,73.04%,2023-08-17 17:30:28.400837,4.34,2023-08-17 17:16:38,20 dagen,5.0,Medium,-3,1.06 kg,4973,50,2023-08-17 18:56:47.334664,Afgekeurd,2644,5.03 kg CO2/kg,Herziening vereist,4.34 hours,54,1.04%,214.0 kWh,Grinder 5,1970,2020-12-20,7453
Packager 1,India,Hoog,Robusta,Voldoet gedeeltelijk,1.28%,2021-11-01,2022-02-22 13:24:55.188686,2022-02-22 15:12:55.006621,Filling Machine 4,469.16,100,2022-02-22 13:11:12.961456,62.74%,0000-00-00 00:00:00,3.38,2022-02-22 12:27:18,11 dagen,7.0,Medium,5,0.81 kg,1695,65,2022-02-22 14:48:03.646654,Herziening vereist,6521,10.00 kg CO2/kg,Geen,3.38 hours,68,2.30%,187.0 kWh,Grinder 5,8865,2022-04-20,4452
Packager 4,Venezuela,Kritiek,Arabica,Voldoet,0.68%,2022-05-31,2020-11-29 08:43:58.203459,2020-11-29 10:14:35.241674,Filling Machine 1,526.28,400,2020-11-29 08:29:06.627509,71.62%,2020-11-29 07:58:21.062061,4.53,0000-00-00 00:00:00,16 dagen,6.0,Medium,4,1.08 kg,2479,45,2020-11-29 09:40:57.201088,Afgekeurd,7514,5.23 kg CO2/kg,Geen,4.53 hours,40,3.14%,242.0 kWh,Grinder 3,277,2022-07-29,1850
Packager 5,Rwanda,Matig,Arabica,Voldoet niet,0.63%,2023-05-17,2023-06-13 06:24:48.215161,2023-06-13 07:35:57.964324,Filling Machine 4,536.77,500,2023-06-13 06:13:50.733871,76.92%,31-02-2025 25:61:61,4.74,2023-06-13 05:26:50,14 dagen,6.0,Licht,9,1.03 kg,8958,68,2023-06-13 07:19:31.110935,Goedgekeurd,2361,6.86 kg CO2/kg,Geen,4.74 hours,66,1.99%,266.0 kWh,Grinder 5,3553,2024-02-01,7117
Packager 1,Peru,Laag,Arabica,Voldoet niet,0.75%,2020-06-18,2022-06-08 04:56:33.631186,2022-06-08 07:16:32.741522,Filling Machine 1,553.86,100,2022-06-08 04:43:40.860380,86.64%,2022-06-08 04:23:03.272477,4.1,2022-06-08 04:14:36,18 dagen,7.0,Licht,3,0.78 kg,9480,53,2022-06-08 06:42:51.104233,Goedgekeurd,8860,4.59 kg CO2/kg,Geen,5.08 hours,47,2.87%,270.0 kWh,Grinder 3,2538,2021-01-28,5059
Packager 2,Nicaragua,Hoog,Excelsa,Voldoet,0.71%,2021-05-30,2020-01-14 17:15:12.096503,2020-01-14 18:32:17.520367,Filling Machine 4,495.87,300,2020-01-14 16:56:30.507911,83.76%,2020-01-14 16:27:52.663099,3.92,2020-01-14 16:07:06,11 dagen,3.0,Medium,6,0.72 kg,3326,40,2020-01-14 17:56:47.114430,Herziening vereist,8288,7.74 kg CO2/kg,Geen,3.92 hours,67,1.34%,231.0 kWh,Grinder 3,8879,2021-07-17,73
Packager 2,Nicaragua,Zeer Hoog,Excelsa,Voldoet,1.33%,2020-01-13,2021-05-07 20:53:40.304671,2021-05-07 21:54:32.053158,Filling Machine 4,521.24,400,2021-05-07 20:23:58.717201,63.27%,2021-05-07 20:00:47.205931,4.42,2021-05-07 19:41:16,15 dagen,1.0,Medium,3,1.22 kg,3946,25,2021-05-07 21:32:28.001684,Afgekeurd,8111,6.05 kg CO2/kg,Geen,4.42 hours,34,3.59%,223.0 kWh,Grinder 2,8449,2020-06-16,2760
Packager 3,Haïti,Matig,Robusta,Voldoet gedeeltelijk,0.44%,2020-04-18,2023-04-28 18:53:00.532275,2023-04-28 20:29:48.504803,Filling Machine 1,466.13,200,2023-04-28 18:32:06.848175,68.85%,2023-04-28 18:07:06.742755,3.32,2023-04-28 17:46:29,23 dagen,2.0,Medium,4,0.83 kg,6985,70,2023-04-28 20:04:15.190098,Herziening vereist,6424,1.68 kg CO2/kg,Geen,3.32 hours,46,4.15%,255.0 kWh,Grinder 4,8112,2020-06-14,6857
Packager 5,Filipijnen,Zeer Hoog,Arabica,Voldoet,1.29%,2023-01-07,2020-03-02 19:18:38.304054,2020-03-02 21:30:29.666123,Filling Machine 1,465.31,500,2020-03-02 19:06:37.325742,82.01%,2020-03-02 18:25:58.846880,3.31,2020-03-02 18:06:53,8 dagen,6.0,Licht,5,1.19 kg,5773,77,2020-03-02 21:07:17.095820,Afgekeurd,4591,2.11 kg CO2/kg,Geen,3.31 hours,64,1.49%,,Grinder 3,6221,2023-12-09,358
Packager 2,El Salvador,Hoog,Arabica,Voldoet,1.01%,2021-04-14,2023-02-18 08:49:28.232897,2023-02-18 11:01:43.377148,Filling Machine 1,458.35,300,2023-02-18 08:33:45.039157,64.49%,2023-02-18 08:01:03.275929,3.17,2023-02-18 07:29:00,9 dagen,1.0,Medium-Donker,3,1.07 kg,9610,68,2023-02-18 10:31:18.716756,Goedgekeurd,9946,6.53 kg CO2/kg,Geen,3.17 hours,40,1.50%,258.0 kWh,Grinder 2,6660,2022-01-12,XXXX
Packager 5,Cuba,Hoog,Arabica,Voldoet,0.84%,2023-10-13,2020-02-28 07:26:02.989852,2020-02-28 08:49:18.992049,Filling Machine 2,545.54,500,2020-02-28 07:14:08.216515,62.04%,2020-02-28 06:37:08.519083,4.91,2020-02-28 06:28:53,7 dagen,1.0,Medium,5,0.89 kg,1096,73,2020-02-28 08:17:31.890628,Herziening vereist,6378,2.16 kg CO2/kg,Geen,4.91 hours,80,1.23%,373.0 kWh,Grinder 1,4492,2024-09-26,334
Packager 4,Honduras,Matig,Robusta,Voldoet,0.94%,,2022-09-04 02:01:19.732978,2022-09-04 03:25:31.566632,Filling Machine 5,527.36,500,2022-09-04 01:47:38.429510,67.79%,2022-09-04 01:11:57.238593,4.55,2022-09-04 00:54:54,5 dagen,4.0,Medium,5,0.81 kg,5066,46,2022-09-04 02:50:43.076248,Goedgekeurd,5019,8.85 kg CO2/kg,Geen,-2 hours,34,2.40%,319.0 kWh,Grinder 5,9050,2024-03-02,5541
Packager 1,Venezuela,Matig,Excelsa,Voldoet gedeeltelijk,0.96%,2020-07-08,2021-12-22 06:21:25.061878,2021-12-22 07:27:09.139041,Filling Machine 3,493.61,200,2021-12-22 06:11:42.975814,65.11%,2021-12-22 05:33:54.740239,3.87,2021-12-22 05:23:34,24 dagen,7.0,Medium-Donker,3,0.76 kg,2792,58,2021-12-22 07:01:16.171024,Goedgekeurd,6451,2.40 kg CO2/kg,Geen,3.87 hours,64,0.98%,abc kWh,Grinder 3,7848,2021-01-06,4083
Packager 5,Papoea-Nieuw-Guinea,Laag,Arabica,Voldoet,1.12%,2023-08-20,2020-01-04 21:44:11.330183,31-02-2025 25:61:61,Filling Machine 5,586.7,298,2020-01-04 21:33:47.595842,76.07%,2020-01-04 20:59:18.871142,5.73,2020-01-04 20:51:44,20 dagen,6.0,Medium-Donker,5,1.09 kg,9728,24,2020-01-04 22:55:48.317448,Goedgekeurd,7819,2.77 kg CO2/kg,Uitstekende kwaliteit,5.73 hours,70,1.43%,347.0 kWh,Grinder 3,9941,2023-11-22,21
Packager 4,Myanmar,Laag,Robusta,Voldoet,0.60%,2022-06-18,2022-06-24 01:28:03.159110,2022-06-24 02:32:47.766415,Filling Machine 3,489.04,500,2022-06-24 01:14:00.282713,85.36%,2022-06-24 00:46:52.823012,3.78,2022-06-24 00:25:00,20 dagen,,Licht,8,1.22 kg,7955,30,2022-06-24 02:03:37.678350,Goedgekeurd,4421,3.99 kg CO2/kg,Geen,3.78 hours,99,1.21%,273.0 kWh,Grinder 5,4220,2023-04-26,5163
Packager 1,Peru,Matig,Robusta,Voldoet,0.44%,2020-11-13,31-02-2025 25:61:61,2020-01-07 21:37:24.634293,Filling Machine 4,493.14,300,2020-01-07 19:57:15.492161,67.84%,2020-01-07 19:13:24.239152,3.86,2020-01-07 19:07:32,7 dagen,4.0,Medium,1,1.14 kg,4708,43,2020-01-07 21:21:57.238784,Afgekeurd,7952,1.00 kg CO2/kg,Geen,3.86 hours,27,1.08%,313.0 kWh,Grinder 3,9728,2020-12-18,35
Packager 4,Peru,Hoog,Robusta,Voldoet gedeeltelijk,1.24%,2022-08-02,2022-10-29 16:22:19.079995,2022-10-29 17:27:16.475564,Filling Machine 5,491.66,300,2022-10-29 15:59:13.832997,91.97%,2022-10-29 15:19:47.711373,3.83,2022-10-29 14:59:14,18 dagen,6.0,Medium-Donker,2,0.87 kg,5402,44,2022-10-29 17:18:39.232727,Goedgekeurd,6268,10.00 kg CO2/kg,Herziening vereist,3.83 hours,48,2.11%,258.0 kWh,Grinder 4,3090,2023-03-31,5850
Packager 2,Democratische Republiek Congo,Zeer Hoog,Robusta,Voldoet,1.83%,2023-02-08,2020-12-12 01:22:22.058406,31-02-2025 25:61:61,Filling Machine 4,511.05,200,2020-12-12 01:08:10.675736,75.90%,2020-12-12 00:36:28.400510,4.22,2020-12-12 00:17:57,21 dagen,5.0,Medium,6,0.68 kg,7048,52,2020-12-12 02:51:05.019398,Afgekeurd,4896,6.22 kg CO2/kg,Geen,4.22 hours,51,0.99%,464.0 kWh,Grinder 1,3769,2023-12-10,1931
Packager 4,Zambia,Hoog,Arabica,Voldoet,0.64%,2020-07-03,2021-11-02 08:16:52.601948,2021-11-02 09:41:18.394541,Filling Machine 1,550.0,300,2021-11-02 08:02:46.955734,91.11%,2021-11-02 07:35:00.126185,5.0,2021-11-02 07:09:22,14 dagen,5.0,Medium,7,1.12 kg,2878,38,2021-11-02 09:00:55.740195,Afgekeurd,2011,7.19 kg CO2/kg,Geen,5.00 hours,56,0.98%,246.0 kWh,Grinder 5,6318,2021-02-12,3782
Packager 5,Kenia,Hoog,Arabica,Voldoet,1.62%,2020-03-25,2022-08-12 06:17:19.672064,2022-08-12 07:44:02.856315,Filling Machine 2,466.44,300,2022-08-12 05:51:48.154578,74.85%,onbekend,3.33,2022-08-12 04:41:17,10 dagen,5.0,Medium,4,1.00 kg,4604,37,2022-08-12 07:04:56.472775,Afgekeurd,8659,6.82 kg CO2/kg,Geen,3.33 hours,82,2.04%,221.0 kWh,Grinder 4,9924,2020-05-25,XXXX
Packager 5,Ethiopië,Laag,Excelsa,Voldoet,1.52%,2020-05-27,2021-05-01 11:26:57.203894,2021-05-01 13:00:51.390078,Filling Machine 1,502.52,100,2021-05-01 11:16:11.375921,63.49%,2021-05-01 10:44:17.775267,4.05,2021-05-01 10:13:49,22 dagen,2.0,Medium-Donker,4,0.80 kg,1504,59,2021-05-01 12:16:37.246874,Goedgekeurd,6531,6.12 kg CO2/kg,Geen,4.05 hours,69,2.58%,309.0 kWh,Grinder 4,6183,2021-01-22,2714
Packager 5,Ethiopië,Matig,Robusta,Voldoet niet,0.60%,2021-01-13,2023-10-21 01:22:52.772892,0000-00-00 00:00:00,Filling Machine 4,473.82,400,2023-10-21 01:09:24.883072,60.74%,0000-00-00 00:00:00,3.48,2023-10-21 00:19:09,17 dagen,,Medium,5,1.31 kg,2329,64,2023-10-21 01:50:00.246487,Herziening vereist,1212,5.40 kg CO2/kg,Geen,3.48 hours,47,1.01%,204.0 kWh,Grinder 3,8543,2021-07-15,7794
Packager 3,Zimbabwe,Hoog,Arabica,Voldoet,0.91%,2023-03-06,2021-09-12 05:35:56.877900,2021-09-12 06:48:39.997529,Filling Machine 3,488.77,400,2021-09-12 05:21:01.267115,69.34%,2021-09-12 05:04:09.195190,3.78,2021-09-12 04:35:56,17 dagen,4.0,Medium-Donker,4,1.02 kg,9184,47,2021-09-12 06:35:57.030535,Goedgekeurd,6929,4.04 kg CO2/kg,Geen,3.78 hours,20,3.13%,205.0 kWh,Grinder 5,3496,2023-08-30,3492
Packager 3,Kenia,Hoog,Robusta,Voldoet,0.84%,2023-01-06,2020-08-13 02:10:04.895227,2020-08-13 03:33:49.451042,Filling Machine 4,578.22,200,0000-00-00 00:00:00,71.25%,2020-08-13 01:26:37.565928,5.56,2020-08-13 01:01:55,21 dagen,8.0,Licht,3,1.12 kg,1208,63,2020-08-13 03:12:09.433808,Goedgekeurd,2377,3.74 kg CO2/kg,Geen,5.56 hours,63,3.05%,???,Grinder 5,7026,2023-03-05,1217
Packager 2,Uganda,Hoog,Liberica,Voldoet,0.74%,2023-03-23,2020-12-19 03:23:30.361030,2020-12-19 04:34:24.328926,Filling Machine 5,537.06,300,2020-12-19 03:08:52.301533,77.85%,2020-12-19 02:37:41.197485,4.74,31-02-2025 25:61:61,12 dagen,3.0,Medium,1,0.53 kg,513,59,2020-12-19 04:15:09.389608,Herziening vereist,8008,7.61 kg CO2/kg,Geen,4.74 hours,50,1.70%,294.0 kWh,Grinder 3,6220,2023-08-14,1966
Packager 2,Angola,Matig,Robusta,Voldoet,0.76%,2022-07-08,2021-05-23 14:43:20.018580,2021-05-23 16:32:56.390279,Filling Machine 1,497.82,300,2021-05-23 14:22:28.757550,65.21%,2021-05-23 13:59:44.623836,3.96,2021-05-23 13:36:43,13 dagen,4.0,Medium,1,0.93 kg,557,unknown,2021-05-23 15:49:26.639865,Goedgekeurd,6814,7.19 kg CO2/kg,Geen,3.96 hours,81,2.22%,276.0 kWh,Grinder 5,7966,2023-05-11,2842
Packager 1,Bolivia,Hoog,Arabica,Voldoet,0.11%,2020-06-21,2021-05-26 23:05:21.191052,2021-05-26 23:48:36.022982,Filling Machine 4,474.23,300,2021-05-26 22:45:50.151015,80.06%,2021-05-26 22:15:21.492947,3.48,31-02-2025 25:61:61,16 dagen,5.0,Medium,7,1.27 kg,8816,57,2021-05-26 23:33:56.177668,Goedgekeurd,5815,4.75 kg CO2/kg,Geen,3.48 hours,54,1.60%,295.0 kWh,Grinder 4,3916,2020-08-27,2859
Packager 5,Vietnam,Kritiek,Liberica,Voldoet,1.25%,2021-03-12,2022-09-06 04:05:28.660712,2022-09-06 05:29:17.836062,Filling Machine 1,519.63,500,2022-09-06 03:52:33.320741,91.46%,2022-09-06 03:32:52.781014,4.1,2022-09-06 03:12:18,16 dagen,7.0,Medium,5,0.84 kg,7248,30,2022-09-06 05:05:40.514647,Afgekeurd,5400,2.75 kg CO2/kg,Herziening vereist,4.39 hours,26,2.90%,325.0 kWh,Grinder 1,1845,2021-11-27,5550
Packager 5,Ivoorkust,Hoog,Robusta,Voldoet niet,1.01%,2023-02-21,2022-03-26 15:01:08.663972,2022-03-26 16:06:46.710157,Filling Machine 2,471.37,500,2022-03-26 14:40:25.918159,70.67%,2022-03-26 14:16:27.065355,3.43,2022-03-26 13:56:03,15 dagen,6.0,Medium,3,0.94 kg,4297,76,2022-03-26 16:00:05.037878,Goedgekeurd,6962,10.00 kg CO2/kg,Geen,3.43 hours,38,1.98%,163.0 kWh,Grinder 2,4296,2023-11-06,4654
